Erwin	アーウィン
archiver	アーカイバ
archival	アーカイバル
archival file	アーカイバルファイル
archival memory	アーカイバルメモリ
archiving	アーカイビング
archive	アーカイブ
archive server	アーカイブサーバ
archives	アーカイブス
archive data set	アーカイブデータセット
archive bit	アーカイブビット
archive file	アーカイブファイル
archive library	アーカイブライブラリ
Arkansas	アーカンソー
argyle	アーガイル
argyle check	アーガイルチェック
ergot	アーガット
archaeology	アーキオロジー
archetype	アーキタイプ
architecture	アーキテクチャ
architectural	アーキテクチャラル
architect	アーキテクト
architrave	アーキトレーヴ
archivist	アーキビスト
archipelago	アーキペラゴ
argue	アーギュー
argument	アーギュメント
arc	アーク
arc energy	アークエネルギー
archangels	アークエンジェル
arc guide	アークガイド
arc gouging	アークガウジング
arccosine	アークコサイン
arccosecant	アークコセカント
arccotangent	アークコタンジェント
arcsine	アークサイン
arc spectrum	アークスペクトル
arcsecant	アークセカント
arctangent	アークタンジェント
Arctic	アークティック
Arctic grayling	アークティックグレイリング
Arctic cisco	アークティックシスコ
Arctic staghorn sculpin	アークティックスタッグホーンスカルピン
arctic char	アークティックチャー
Arctic flounder	アークティックフラウンダー
arc light	アークライト
arc lamp	アークランプ
arcade	アーケード
arcade game	アーケードゲーム
archaic smile	アーケイックスマイル
archaesthetism	アーケステティズム
Archezoa	アーケゾア
arcology	アーコロジー
argon	アーゴン
earthy	アーシー
ashram	アーシュラム
arsine	アーシン
earthing	アーシング
urge	アージ
urgency	アージェンシー
urgent	アージェント
arduous	アージュアス
earth	アース
Earth Hour	アースアワー
earth color	アースカラー
earthquake	アースクエイク
awareness and activity about global environmental, etc. problems	アースコンシャス
earth dam	アースダム
Earth Day	アースデー
earth band	アースバンド
earth mound	アースマウンド
earth mover	アースムーバ
ground line	アースライン
earthly	アースリ
earthworm	アースワーム
earthen	アースン
arzrunite	アーズラナイト
arsenic	アーセニック
arsenic chloride	アーセニッククロライド
arsenic	アーセン
arsenoclasite	アーゼノクラサイト
arsenolite	アーソノライト
ardor	アーダー
ardent	アーダント
arch	アーチ
ARCHIE	アーチー
archery	アーチェリー
artisan	アーチザン
artistic	アーチステック
arch dam	アーチダム
archbishop	アーチビショップ
archer	アーチャー
archlute	アーチリュート
urchin	アーチン
aah	アーッ
articulation	アーティキュレーション
articulated axle	アーティキュレーテッドアクスル
articulated con-rod	アーティキュレーテッドコンロッド
articulated shaft	アーティキュレーテッドシャフト
articulate	アーティキュレット
article	アーティクル
artisan	アーティザン
artistic	アーティスティック
artistic impression	アーティスティックインプレッション
artistic swimming	アーティスティックスイミング
artist	アーティスト
globe artichoke	アーティチョーク
artifact	アーティファクト
artificial	アーティフィシャル
artificial intelligence	アーティフィシャルインテリジェンス
artifice	アーティフィス
artillery	アーティレリ
articulate	アーテキュレイト
artillery	アーテラリ
artery	アーテリー
ardent	アーデント
art	アート
art glass	アートガラス
art gallery	アートギャラリー
art theater	アートシアター
art supervisor	アートスーパバイザ
art studio	アートスタジオ
art title	アートタイトル
artotype	アートタイプ
art director	アートディレクター
art fair	アートフェア
art photography	アートフォトグラフィー
art book	アートブック
atman	アートマン
artwork	アートワーク
aardvark	アードバーク
arnis	アーニス
urbanism	アーバニズム
urbanity	アーバニティー
urban	アーバン
urban exodus	アーバンエクソダス
urban complex	アーバンコンプレックス
urban sprawl	アーバンスプロール
urban twill	アーバンツイル
urban decline	アーバンデクライン
urban designer	アーバンデザイナー
urban design	アーバンデザイン
urban village	アーバンビレッジ
urban furniture	アーバンファーニチャー
urban family	アーバンファミリー
urban blues	アーバンブルース
urban planner	アーバンプランナー
urban life	アーバンライフ
urban resort	アーバンリゾート
urban renewal	アーバンリニュアル
ARPA	アーパ
stupid person	アーパー
arbiter	アービタ
arbitrage	アービトラージ
arbitrary	アービトラリ
arbitration	アービトレーション
arbitration group	アービトレーショングループ
arbitration level	アービトレーションレベル
arbitrager	アービトレィジャー
arbutus	アービュタス
after	アーフタ
afterwards	アーフタワーズ
ARP	アープ
urbane	アーベイン
Abelian	アーベル
evening	アーベント
armor	アーマー
Pseudorinelepis genibarbis	アーマードプレコ
armor plate	アーマープレート
armature	アーマチュア
armature core	アーマチュアコア
armature coil	アーマチュアコイル
armature sheet	アーマチュアシート
armature brake	アーマチュアブレーキ
armament	アーマメント
armory	アーマリー
army	アーミー
multipurpose knife	アーミーナイフ
army blue	アーミーブルー
army look	アーミールック
armistice	アーミスティス
Amish	アーミッシュ
ermine	アーミン
arming	アーミング
arm	アーム
arm warmer	アームウォマー
arm cover	アームカバー
armchair	アームチェア
armchair detective	アームチェアディテクティブ
arm band	アームバンド
armhole	アームホール
adjustable lamp	アームライト
armlifter	アームリフター
armless chair	アームレスチェア
armrest	アームレスト
arm wrestling	アームレスリング
armlet	アームレット
arm lock	アームロック
amen	アーメン
almond	アーモンド
Channa lucius	アーモンドスネークヘッド
almond powder	アーモンドパウダー
almond flour	アーモンドプードル
almond meal	アーモンドミール
Ayurveda	アーユルヴェーダ
erlang	アーラン
early	アーリー
early American	アーリーアメリカン
early check-in	アーリーチェックイン
early music	アーリーミュージック
Aryan	アーリアン
garlic-infused olive oil	アーリオオーリオ
aliyah	アーリヤー
art	アール
are	アール
Rh	アールエイチ
RS-232C	アールエスニーサンニーシー
RS-232D	アールエスニーサンニーディー
RS-422	アールエスヨンニーニ
RFC	アールエフシー
RMI	アールエムアイ
ROLAP	アールオーラップ
Earl Grey	アールグレイ
RGB	アールジービー
earldom	アールダム
RTF	アールティーエフ
RTFJ	アールティーエフジェイ
RDB	アールデービー
RDBMS	アールデービーエムエス
art deco	アールデコ
art nouveau	アールヌーボー
art brut	アールブリュット
measure of area	アーレ
aunt	アーント
earned media	アーンドメディア
earned run	アーンドラン
eye	アイ
IRQ	アイアールキュー
IRC	アイアールシー
IrDA	アイアールディーエー
aye-aye	アイアイ
IIS	アイアイエス
IIOP	アイアイオーピー
IIJ	アイアイジェイ
IIJ4U	アイアイジェイフォーユー
ironing	アイアニング
iron	アイアン
iron club	アイアンクラブ
iron sight	アイアンサイト
ironstone	アイアンストン
iron maiden	アイアンメイデン
IE	アイイー
IETF	アイイーティーエフ
eyewear	アイウェア
IAB	アイエービー
ISAPI	アイエスエーピーアイ
ISO	アイエスオー
ISOC	アイエスオーシー
ISODE	アイエスオーディーイー
ISDN	アイエスディーエヌ
iAnywhere	アイエニウェア
IME	アイエムイー
I-O	アイオー
IO control	アイオーコントロール
I-O DATA	アイオーデータ
iodine	アイオダイン
iolite	アイオライト
aioli	アイオリ
aioli	アイオリソース
Iowa	アイオワ
eye camera	アイカメラ
short clip used to begin and end commercial breaks on Japanese TV	アイキャッチ
eye-catcher	アイキャッチャー
eye care	アイケア
safety glasses	アイケアグラス
iced coffee	アイコ
iconic interface	アイコニックインタフェース
iconic signs	アイコニックサイン
iconic memory	アイコニックメモリ
iconify	アイコニファイ
iconoclasm	アイコノクラズム
iconoscope	アイコノスコープ
composite image of a celebrity	アイコラ
icon	アイコン
icon editor	アイコンエディタ
icon character	アイコンキャラクタ
eye contact	アイコンタクト
iCOMP	アイコンプ
icon button	アイコンボタン
argh	アイゴー
eyesight	アイサイト
ISAPI	アイサピ
ISAM	アイサム
icy	アイシー
ICMP	アイシーエムピー
ICQ	アイシーキュー
eye shield	アイシールド
eyeshade	アイシェード
icicle	アイシクル
eyeshadow	アイシャドウ
ish	アイシュ
icing	アイシング
icing the puck	アイシングザパック
isinglass	アイシングラス
ice	アイス
ice arena	アイスアリーナ
iced water	アイスウォーター
ice pop	アイスキャンデー
ice cube	アイスキューブ
ice climbing	アイスクライミング
ice cream	アイスクリーム
ice cream cone	アイスクリームコーン
ice cream sundae	アイスクリームサンデー
ice cream soda	アイスクリームソーダ
old fashioned-style ice cream	アイスクリン
iced coffee	アイスコーヒー
ice condenser	アイスコンデンサ
ice show	アイスショー
ice giant	アイスジャイアント
ice skating	アイススケート
chocolate-coated ice cream on a stick	アイススマック
ice sledge hockey	アイススレッジホッケー
Australian gregory	アイスズメダイ
ice diving	アイスダイビング
ice dancing	アイスダンス
iced tea	アイスティ
eisteddfod	アイステズボド
ice tongs	アイストング
ice piton	アイスハーケン
ice pop	アイスバー
iceberg	アイスバーグ
icy road	アイスバーン
eisbein	アイスバイン
ice bucket	アイスバケット
ice bag	アイスパック
ice pick	アイスピック
icefall	アイスフォール
ice bridge	アイスブリッジ
icebreaker	アイスブレーカー
ice pudding	アイスプディング
ice plant	アイスプラント
ice pail	アイスペール
ice hockey	アイスホッケー
icebox	アイスボックス
Tetraodon leiurus	アイスポッテッドパファー
