no-hit no-run game	ノーヒットノーランゲーム
sidewall	サイドウォール
jingoism	ジンゴイズム
opponents having won an equal number of sets	セットオール
furfural	フルフラール
side suplex	サイドスープレックス
histidine	ヒスチジン
snap gauge	スナップゲージ
DCE	ディーシーイー
junior high school	ジュニアハイスクール
matrix switcher	マトリクススイッチャー
posing	ポージング
acrobat	アクロバット
Kaiser roll	カイザーロール
blackspotted catshark	ナガサキトラザメ
illumination	イリュミネイション
weedy seadragon	ウィーディーシードラゴン
high tension bolt	ハイテンションボルト
subcommand	サブコマンド
Slovenia	スロベニア
ripper software	リッパーソフトウェア
stela	ステラ
agritech	アグリテック
battle royale	バトロワ
Komodo dragon	コモドドラゴン
pedal pail	ペダルペール
starting	スターティング
Dala horse	ダーラナホース
cosine	コサイン
tape row	テープフレーム
trail	トレイル
coronet	コロネット
trench	トレンチ
Sunni Triangle	スンニトライアングル
cajón	カホン
center part	センターパート
person working in the television industry	テレビマン
blazer	ブレザー
baht	バーツ
racing	レースゲーム
stapler	ホッチキス
herringbone	ヘリンボーン
Trumpism	トランピズム
neutrino	ニュートリノ
no comment	ノーコメント
pirate's pants	パイレーツパンツ
axle	アクスル
polysulphone	ポリスルホン
riveter	リベッター
keep-alive	キープアライブ
my Paris	モンパリ
cleanup	クリーンアップ
Himalaya	ヒマラヤ
poem	ポエム
typesetter	タイプセッター
Fabianism	フェビアニズム
gauge tie	ゲージタイ
rough sketch	ラフスケッチ
multitasking	マルチタスキング
dyslexia	ディスレクシア
turboprop	ターボプロップ
one-time password	ワンタイムパスワード
hollandaise sauce	オランデーズソース
medal	メダル
ethylene	エチレン
totally naked	オールヌード
propanol	プロパノール
directory store	ディレクトリストア
cadaverine	カダベリン
Cuvier's gazelle	エドミガゼル
mimicry	ミミクリー
defragment	デフラグメント
central	セントラル
philanthropy	フィランソロピー
sub	サブ
neon sign	ネオンサイン
aspect ratio	アスペクトレシオ
mini-blog	ミニブログ
fancy dress	ファンシードレス
milling cutter	フライス
glass fiber rod	グラスロッド
Internet marketing	インターネットマーケティング
Sabertooth Longhorn beetle	オオキバウスバカミキリ
BER	ビーイーアール
oscillograph	オシログラフ
bilberry	ビルベリー
heavy	ヘビー
write once	ライトワンス
multimedia title	マルチメディアタイトル
dry cleaning	ドライクリーニング
decoding	デコード
minor seventh	マイナーセブンス
nanosecond	ナノセカンド
gummi	グミ
Daurian hedgehog	ダウリアハリネズミ
call loan	コールローン
novelette	ノベレット
window-gazing	ウィンドウショッピング
bionic	バイオニック
business suit	ビジネススーツ
sign language	サインランゲージ
fennec fox	フェネック
collapsing	ガクリ
listener	リスナー
colonialism	コロニアリズム
ship	シップ
golf widow	ゴルフウイドー
day trader	デイトレーダー
tart	タルト
herpangina	ヘルパンギーナ
deconvolution	デコンボリューション
basketball hoop	バスケットリング
brandy	オードビ
individual number card point	マイナポイント
corner	コーナー
custom profile	カスタムプロファイル
toreador	トレアドル
moneymaker	マネーメーカー
EmEditor	エムエディタ
amaranth	アマランス
hospital	ホスピタル
station	ステーション
shopping bag lady	ショッピングバッグレディー
coworking space	コワーキングスペース
Tasmanian tiger	タスマニアタイガー
smooth shading	スムーズシェーディング
fund manager	ファンドマネジャー
Prussian	プルシャン
daiquiri	ダイキリ
shopper	ショッパー
plasmid	プラスミド
manipulation	マニピュレーション
city pops	シティーポップス
newspaper with a lot of advertisements and delivered for free of charge	フリーペーパー
peg	ペグ
festa junina	フェスタジュニーナ
My Number Card	マイナンバーカード
misprint	ミスプリント
sun deck	サンデッキ
limited	リミテッド
casein	カゼ
diving style	ダイビングスタイル
Milanese	ミラネーゼ
tsar	ツァーリ
polyarchy	ポリアーキー
histamine	ヒスタミン
stud	スタッド
Comic Market	コミケット
record concert	レコードコンサート
destroyer	デストロイヤー
date club	デートクラブ
strand	ストランド
cost management	コストマネジメント
purple	パープル
hashed meat with rice	ハヤシライス
low volley	ローボレー
index buffer	インデックスバッファ
detector	デテクター
