アーウィン 	(n) {comp} ERwin
アーカイバ;アーカイバー 	(n) {comp} archiver
アーカイバル 	(adj-f) archival
アーカイバルファイル;アーカイバル・ファイル 	(n) {comp} archival file
アーカイバルメモリ;アーカイバル・メモリ 	(n) {comp} archival memory
アーカイビング 	(n) {comp} archiving
アーカイブ;アーカイヴ 	(n) archive
アーカイブサーバ;アーカイブサーバー;アーカイブ・サーバ;アーカイブ・サーバー 	(n) {comp} archive server
アーカイブス;アーカイブズ 	(n) (See アーカイブ) archives
アーカイブデータセット;アーカイブ・データセット 	(n) {comp} archive data set
アーカイブビット;アーカイブ・ビット 	(n) {comp} archive bit
アーカイブファイル;アーカイブ・ファイル 	(n) {comp} archive file
アーカイブライブラリ;アーカイブ・ライブラリ 	(n) {comp} archive library
アーカンソー 	(n) Arkansas
アーガイル;アーガル(ik) 	(n) argyle
アーガイルチェック;アーガイル・チェック;アーガルチェック(ik);アーガル・チェック(ik) 	(n) argyle check
アーガット 	(n) ergot
アーキオロジー;アーケオロジー 	(n) archaeology
アーキタイプ 	(n) archetype
アーキテクチャ(P);アーキテクチャー;アーキテクチュア;アキテクチャ 	(n) architecture
アーキテクチャラル;アーキテクチュラル;アーキテクチャル 	(adj-no) architectural
アーキテクト 	(n) architect
アーキトレーヴ;アーキトレーブ 	(n) {archit} architrave
アーキビスト 	(n) archivist
アーキペラゴ 	(n) archipelago
アーギュー 	(n,vs) argue
アーギュメント 	(n) argument
アーク 	(n) arc (esp. electrical)
アークエネルギー;アーク・エネルギー 	(n) arc energy
アークエンジェル 	(n) archangels
アークガイド;アーク・ガイド 	(n) arc guide
アークガウジング;アーク・ガウジング 	(n) arc gouging
アークコサイン 	(n) arccosine
アークコセカント 	(n) arccosecant
アークコタンジェント 	(n) arccotangent
アークサイン 	(n) arcsine
アークスペクトル;アーク・スペクトル 	(n) arc spectrum
アークセカント 	(n) arcsecant
アークタンジェント 	(n) arctangent
アークティック 	(n) Arctic
アークティックグレイリング;アークティック・グレイリング 	(n) Arctic grayling (Thymallus arcticus)
アークティックシスコ;アークティック・シスコ 	(n) Arctic cisco (Coregonus autumnalis)
アークティックスタッグホーンスカルピン;シベリアツマグロカジカ 	(n) Arctic staghorn sculpin (Gymnocanthus tricuspis)
アークティックチャー;アークティック・チャー 	(n) (See 北極岩魚・ほっきょくいわな) arctic char (Salvelinus alpinus)
アークティックフラウンダー;アークティック・フラウンダー 	(n) Arctic flounder (Liopsetta glacialis, was Pleuronectes glacialis)
アークライト;アーク・ライト 	(n) arc light
アークランプ;アーク・ランプ 	(n) arc lamp
アーケード(P);アーケイド 	(n) arcade (street)
アーケードゲーム;アーケード・ゲーム 	(n) {comp} arcade game
アーケイックスマイル;アルカイックスマイル;アーケイック・スマイル;アルカイック・スマイル 	(n) archaic smile
アーケステティズム 	(n) archaesthetism
アーケゾア 	(n) Archezoa
アーコロジー 	(n) arcology (from architectural ecology)
アーゴン 	(n) argon
アーシー 	(adj-na) earthy
アーシュラム;アーシュラマ;アシュラム 	(n) ashram (san:)
アーシン 	(n) arsine
アーシング 	(n) earthing (circuits)
アージ 	(n) urge
アージェンシー;アージャンシー 	(n) urgency
アージェント;アージャント 	(adj-no) urgent
アージュアス 	(adj-no) arduous
アース 	(n,vs) (1) (electrical) earth
アースアワー;アース・アワー 	(n) Earth Hour
アースカラー;アース・カラー 	(n) earth color
アースクエイク;アースクエーク;アースクェイク;アースクウェイク 	(n) earthquake
アースコンシャス;アース・コンシャス 	(n) awareness and activity about global environmental, etc. problems (wasei: Earth conscious)
アースダム;アース・ダム 	(n) earth dam
アースデー;アースデイ;アース・デー;アース・デイ 	(n) Earth Day (April 22)
アースバンド;アース・バンド 	(n) {comp} earth band
アースマウンド;アース・マウンド 	(n) earth mound
アースムーバ;アース・ムーバ 	(n) earth mover
アースライン;アース・ライン 	(n) {comp} ground line
アースリ 	(adj-no) earthly
アースワーム 	(n) earthworm
アースン 	(adj-no) earthen
アーズラナイト 	(n) arzrunite
アーセニック 	(n) arsenic
アーセニッククロライド;アーセニック・クロライド 	(n) arsenic chloride
アーセン 	(n) arsenic
アーゼノクラサイト 	(n) arsenoclasite
アーソノライト 	(n) arsenolite
アーダー 	(n) ardor
アーダント 	(adj-no) ardent
アーチ 	(n) (1) arch
アーチー;アーキー 	(n) {comp} ARCHIE
アーチェリー(P);アーチェリ 	(n) archery
アーチザン 	(n) artisan
アーチステック 	(adj-no) artistic
アーチダム;アーチ・ダム 	(n) arch dam
アーチビショップ 	(n) archbishop
アーチャー;アーチャ 	(n) archer
アーチリュート 	(n) archlute
アーチン;アーチャン 	(n) urchin
アーッ 	(int) aah
アーティキュレーション;アーティキュレイション;アーテキュレイション 	(n) articulation
アーティキュレーテッドアクスル;アーティキュレーテッド・アクスル 	(n) articulated axle
アーティキュレーテッドコンロッド 	(n) articulated con-rod
アーティキュレーテッドシャフト;アーティキュレーテッド・シャフト 	(n) articulated shaft
アーティキュレット 	(adj-no) articulate
アーティクル;アーテクル 	(n) article
アーティザン 	(n) artisan
アーティスティック 	(adj-f) artistic
アーティスティックインプレッション;アーティスティック・インプレッション 	(n) artistic impression
アーティスティックスイミング;アーティスティック・スイミング 	(n) artistic swimming
アーティスト(P);アーチスト(P);アーティスツ(ik) 	(n) artist
アーティチョーク;アーティーチョーク;アーチチョーク(ik);アーティチョウク(ik) 	(n) (See 朝鮮薊・ちょうせんあざみ) globe artichoke (Cynara scolymus)
アーティファクト;アーチファクト 	(n) artifact
アーティフィシャル;アーテフィシャル 	(adj-na) artificial
アーティフィシャルインテリジェンス;アーティフィシャル・インテリジェンス 	(n) artificial intelligence
アーティフィス;アーテフィス 	(n) artifice
アーティレリ 	(n) artillery
アーテキュレイト;アーテキュレット 	(n) articulate
アーテラリ 	(n) artillery
アーテリー 	(n) (See 動脈) artery
アーデント 	(n) ardent
アート 	(n) art
アートガラス;アート・ガラス 	(n) art glass
アートギャラリー;アート・ギャラリー 	(n) art gallery
アートシアター;アート・シアター 	(n) art theater
アートスーパバイザ 	(n) art supervisor
アートスタジオ;アート・スタジオ 	(n) art studio
アートタイトル;アート・タイトル 	(n) art title
アートタイプ 	(n) artotype
アートディレクター;アート・ディレクター 	(n) art director
アートフェア;アート・フェア 	(n) art fair
アートフォトグラフィー;アート・フォトグラフィー 	(n) art photography
アートブック;アート・ブック 	(n) art book
アートマン 	(n) (See ブラフマン) atman (san: ātman)
アートワーク 	(n) artwork
アードバーク 	(n) aardvark
アーニス 	(n) (See エスクリマ) arnis (Filipino marshal art)
アーバニズム 	(n) urbanism
アーバニティー;アーバニティ 	(n) urbanity
アーバン 	(n) urban
アーバンエクソダス;アーバン・エクソダス 	(n) urban exodus
アーバンコンプレックス;アーバン・コンプレックス 	(n) urban complex
アーバンスプロール;アーバン・スプロール 	(n) urban sprawl
アーバンツイル;アーバン・ツイル 	(n) urban twill (fabric)
アーバンデクライン;アーバン・デクライン 	(n) urban decline
アーバンデザイナー;アーバン・デザイナー 	(n) urban designer
アーバンデザイン;アーバン・デザイン 	(n) urban design
アーバンビレッジ;アーバン・ビレッジ 	(n) urban village
アーバンファーニチャー;アーバン・ファーニチャー 	(n) urban furniture
アーバンファミリー;アーバン・ファミリー 	(n) urban family
アーバンブルース;アーバン・ブルース 	(n) urban blues
アーバンプランナー;アーバン・プランナー 	(n) urban planner
アーバンライフ;アーバン・ライフ 	(n) urban life
アーバンリゾート;アーバン・リゾート 	(n) urban resort
アーバンリニュアル;アーバンリニューアル;アーバン・リニュアル;アーバン・リニューアル 	(n) urban renewal
アーパ 	(n) {comp} ARPA
アーパー 	(n) (sl) stupid person
アービタ;アビタ 	(n) arbiter
アービトラージ 	(n) arbitrage
アービトラリ;アービトレリ 	(n) arbitrary
アービトレーション 	(n) arbitration
アービトレーショングループ;アービトレーション・グループ 	(n) {comp} arbitration group
アービトレーションレベル;アービトレーション・レベル 	(n) {comp} arbitration level
アービトレィジャー 	(n) arbitrager
アービュタス 	(n) arbutus
アーフタ 	(n) after
アーフタワーズ 	(n) afterwards
アープ 	(n) {comp} ARP
アーベイン 	(adj-no) urbane
アーベル 	(adj-na) {math} Abelian
アーベント 	(n) evening (ger: Abend)
アーマー 	(n) armor
アーマードプレコ 	(n) Pseudorinelepis genibarbis (species of armored catfish from the Amazon River)
アーマープレート;アーマー・プレート 	(n) armor plate
アーマチュア;アーマチャー;アーマチャ 	(n) armature
アーマチュアコア;アーマチュア・コア 	(n) armature core
アーマチュアコイル;アーマチュア・コイル 	(n) armature coil
アーマチュアシート 	(n) armature sheet
アーマチュアブレーキ 	(n) armature brake
アーマメント 	(n) armament
アーマリー 	(n) armory
アーミー(P);アーミィ 	(n) army
アーミーナイフ 	(n) multipurpose knife
アーミーブルー;アーミー・ブルー 	(n) army blue
アーミールック;アーミー・ルック 	(n) army look
アーミスティス 	(n) armistice
アーミッシュ 	(n) Amish
アーミン 	(n) ermine (Mustela erminea)
アーミング 	(n) arming
アーム 	(n) (1) arm
アームウォマー 	(n) arm warmer
アームカバー;アーム・カバー 	(n) arm cover (e.g. chair)
アームチェア;アームチェアー 	(n) armchair
アームチェアディテクティブ;アームチェアーディテクティブ;アームチェア・ディテクティブ;アームチェアー・ディテクティブ 	(n) armchair detective
アームバンド;アーム・バンド 	(n) arm band
アームホール 	(n) armhole
アームライト;アーム・ライト 	(n) adjustable lamp (wasei: arm light)
アームリフター 	(n) armlifter (e.g. on a gramophone turntable)
アームレスチェア;アームレスチェアー;アームレス・チェア;アームレス・チェアー 	(n) armless chair
アームレスト 	(n) armrest
アームレスリング;アーム・レスリング 	(n) (1) (See 腕相撲) arm wrestling
アームレット 	(n) armlet
アームロック;アーム・ロック 	(n) arm lock
アーメン;エイメン 	(int) amen
アーモンド(P);アモンド 	(n) almond (Prunus dulcis)
アーモンドスネークヘッド 	(n) Channa lucius (species of snakehead fish)
アーモンドパウダー;アーモンド・パウダー 	(n) almond powder
アーモンドプードル;アーモンド・プードル 	(n) {food} almond flour (fre: poudre)
アーモンドミール;アーモンド・ミール 	(n) almond meal
アーユルヴェーダ 	(n) Ayurveda (traditional system of medicine practiced in India)
アーラン 	(n) (also written アラン) erlang
アーリー 	(adj-f) early
アーリーアメリカン;アーリー・アメリカン 	(n) early American
アーリーチェックイン;アーリー・チェックイン 	(n) early check-in
アーリーミュージック;アーリー・ミュージック 	(n) early music
アーリアン 	(n) (See アーリア人・アーリアじん) Aryan
アーリオオーリオ;アーリオ・オーリオ 	(n) garlic-infused olive oil (ita: aglio olio)
アーリヤー;アリーヤー;アリヤー 	(n) aliyah (heb:)
アール 	(n) (See アート) art (fre:)
アール 	(n) are (fre:)
アールエイチ 	(n) Rh
アールエスニーサンニーシー 	(n) {comp} RS-232C
アールエスニーサンニーディー 	(n) {comp} RS-232D
アールエスヨンニーニ 	(n) {comp} RS-422
アールエフシー 	(n) {comp} RFC
アールエムアイ 	(n) {comp} RMI
アールオーラップ 	(n) {comp} ROLAP
アールグレイ;アール・グレイ 	(n) Earl Grey (tea)
アールジービー 	(n) {comp} RGB
アールダム;アールドム 	(n) earldom
アールティーエフ 	(n) {comp} RTF
アールティーエフジェイ 	(n) {comp} RTFJ
アールデービー 	(n) {comp} RDB
アールデービーエムエス 	(n) {comp} RDBMS
