<s> `l_ey `ah_p </s>	レイアップ	レアップ
<s> `f_ao_r ch_ax_n </s>	フォーチュン	フォーチュン
<s> `f_r_uw_t `jh_eh l_iy </s>	フルーツゼリー	フルーツジェリ
<s> `b_ih b_l_iy `aa g_r_ax f_iy </s>	ビブリオグラフィー	ビブリオグラフィー
<s> `t_iy `n_ey jh_er </s>	ティーンエイジャー	ティーナジ
<s> k_ow `hh_ih r_ax_n_t </s>	コヒーレント	コヒーレント
<s> `b_ah_s `m_aw_s </s>	バスマウス	バスマウス
<s> `s_t_iy_m `hh_iy t_er </s>	スチームヒーター	スチームヒーター
<s> s_ax `p_ao_r_t `g_r_uw_p </s>	サポートグループ	シポートグループ
<s> s_ih_s `g_eh_n d_er </s>	シスジェンダー	シージェンダー
<s> `aa-r `jh-ey </s>	ランダムジッタ	アールジェイ
<s> `k_ae_t_s `ay </s>	キャッツアイ	キャッツアイ
<s> `m_ay ow `p_ae th_iy </s>	ミオパシー	マイオパシー
<s> `n_ow `k_aa_r b_ax_n </s>	ノーカーボン	ノーカーボン
<s> `b_ah_n s_ax_n `b_er n_er </s>	ブンゼンバーナー	バンソンバーナー
<s> `s_l_ow p_ax `s_t_ay_l </s>	スロープスタイル	スロープスタイル
<s> `jh_ah_ng_k `aa_r_t </s>	ジャンクアート	ジャンクアート
<s> `s_ih_l k_iy `sh_aa_r_k </s>	シルキーシャーク	シルキーシャーク
<s> `t_ow `m_ey `t_iy_n </s>	トマチン	トマチン
<s> `t_ae b_l_ax_t `p_eh_n </s>	タブレットペン	タブレットペン
<s> `t_r_eh zh_er er </s>	トレジャラー	トレジャラー
<s> `m_ae n_ax </s>	マンナ	マニ
<s> `k_er m_ih_s </s>	キルメス	カス
<s> `k_w_eh `n_eh_l </s>	クネル	クネル
<s> k_ax_m `p_ae_k sh_ax_n </s>	コンパクション	コンパクション
<s> `p_l_ae_n </s>	プラン	プラン
<s> `ae_d `s_t_r_ih_p </s>	アドストリップ	アドストリップ
<s> `b_iy_m `r_ay f_ax_l </s>	ビームライフル	ビームライフル
<s> `s_ao `t_w_aa_r </s>	ソトワール	ソートリー
<s> `hh_ow_m `t_iy_m </s>	ホームチーム	ホームチーム
<s> `s_p_uw_n `f_iy d_ih_ng </s>	スプーンフィーディング	スプーンフィーディング
<s> `r_ah g_ax_d `s_ow_l </s>	ラグソール	ラギッドソール
<s> ow v_ih r_ax_p t_er </s>	オビラプトル	オビラプトル
<s> `f_aa_n </s>	フォン	フォン
<s> `d_ih dh_er </s>	ディザ	ディザ
<s> `s_ae_n_d `p_ey p_er </s>	サンドペーパー	サンドペーパー
<s> `hh_eh l_ih k_ax_l `g_ih_r </s>	ヘリカルギヤ	ヘリカルギア
<s> `k_l_ih r_ih_ng `hh_aw_s </s>	クリアリングハウス	クリアリングハウス
<s> `k_l_ae m_iy d_iy ax </s>	クラミジア	クラミディア
<s> `hh_eh l_ih k_ax_l </s>	ヘリカル	ヘリカル
<s> `s_iy z_ax n_ax_l </s>	シーズナル	シーズナル
<s> `hh_aa_t `r_aa_d </s>	ホットロッド	ホットロッド
<s> `s_ao `r_aa `p_ow `s_ay d_ax_n </s>	サウロポセイドン	ソーラーポシデン
<s> `b_aa_n d_ih_ng </s>	ボンディング	ネディング
<s> `hh_ae_n d_ax_l `b_aa_r </s>	ハンドルバー	ハンドルバー
<s> `v_ih `r_ih d_iy ax_n </s>	ビリジアン	ビリジアン
<s> `n_aa `m_aa `g_r_ae_f </s>	ノモグラフ	ノマグラフ
<s> `f_l_ae_g `sh_ih_p </s>	フラッグシップ	フラグシップ
<s> `f_iy ch_er `g_r_uw_p </s>	フィーチャーグループ	フィチュールグループ
<s> `l_eh_n `t_ih k_y_ax l_er </s>	レンチキュラー	レンチキュラー
<s> `l_aa_k `f_ay_l </s>	ロックファイル	ロックファイル
<s> `l_ao `g_ao_f </s>	ログオフ	ログオフ
<s> ae_n `jh_ay n_ax </s>	アンギナ	アンギニ
<s> `r_eh_m d_ih s_iy_v_r </s>	レムデシビル	レムデシビル
<s> `b_ae t_ih_ng </s>	バッティング	バト
<s> `p_iy p_ih_ng `t_aa_m </s>	ピーピングトム	ピーピングトム
<s> `k_w_iy_n `z_l_ae_n_d </s>	クイーンズランド	クイーンズランド
<s> `eh n_er jh_iy `s_ey_v `m_ow_d </s>	エナジーセーブモード	エナジーセーブモード
